institution_id,location_id,enrollment,admission_rate,tuition_in_state,tuition_out_state,median_earnings_10yr,median_earnings_6yr,graduation_rate,median_debt,grad_median_debt,pct_pell_grant,pct_federal_loan,retention_rate,pct_female,pct_first_gen,poverty_rate,unemp_rate,pct_white,pct_black,pct_hispanic,pct_asian
230728,45,20272.0,0.9247,9228.0,24802.0,54022.0,44822.0,0.5913,9500.0,14340.0,0.2578,0.1904,0.7084,0.5495908753,0.2835781742,7.38999986648559,3.56999993324279,90.5599975585937,0.85000002384185,6.96000003814697,1.66999995708465
230737,45,28453.0,,6507.0,18489.0,55486.0,46825.0,0.4511,8899.0,14750.0,0.2292,0.0906,0.7307,0.47188775,0.2721558768,6.88000011444091,3.16000008583068,89.9700012207031,1.26999998092651,7.98999977111816,1.55999994277954
230746,45,18136.0,,4426.0,14244.0,47867.0,41501.0,0.2925,4408.0,8003.0,0.1681,0.0797,,0.5372248597,0.3962683801,6.1100001335144,3.29999995231628,86.6900024414062,1.13999998569488,11.4300003051757,2.29999995231628
230764,45,27264.0,0.8598,9620.0,30860.0,67170.0,55239.0,0.6505,14000.0,19000.0,0.1959,0.2051,0.8619,0.5055296857,0.2944091683,6.05999994277954,3.17000007629394,88.4000015258789,1.24000000953674,9.11999988555908,2.32999992370605
230782,45,16360.0,,6557.0,17545.0,56287.0,47061.0,0.462,9666.0,15113.0,0.1652,0.1017,0.6731,0.5842472582,0.3735113677,6.17999982833862,3.65000009536743,88.9300003051757,1.57000005245208,9.05000019073486,1.63999998569488
230807,45,823.0,0.6657,43528.0,43528.0,66215.0,52994.0,0.6381,18500.0,22250.0,0.2447,0.6603,0.7634,0.609394314,0.2687747036,5.76999998092651,3.15000009536743,88.3899993896484,1.26999998092651,9.31999969482422,2.32999992370605
230816,46,780.0,0.4453,66262.0,66262.0,38289.0,24711.0,0.7121,19250.0,26000.0,0.2527,0.504,0.8204,0.671875,0.1260162602,5.96999979019165,3.30999994277954,82.4199981689453,7.32000017166137,6.75,4.69999980926513
230852,46,2752.0,0.8292,47850.0,47850.0,58386.0,48844.0,0.6523,19500.0,26814.0,0.2502,0.5187,0.817,0.4702731655,0.3172011662,4.94000005722045,2.76999998092651,93.370002746582,2.25999999046325,2.44000005722045,1.77999997138977
230861,46,2841.0,,6920.0,13640.0,36234.0,37362.0,0.1963,5702.0,10491.0,0.295,0.0368,,0.6808009423,0.5074090705,6.90000009536743,2.97000002861022,96.2300033569336,0.73000001907348,1.12999999523162,0.99000000953674
230959,46,2738.0,0.1075,67600.0,67600.0,76310.0,57291.0,0.914,11522.0,13857.0,0.1589,0.2271,0.9366,0.53432282,0.2157258065,6.59999990463257,3.16000008583068,81.8499984741211,7.32999992370605,8.5,4.28000020980835
230995,46,2428.0,0.7444,49740.0,49740.0,65575.0,59743.0,0.6021,17501.0,25000.0,0.2441,0.4637,0.7926,0.2662429379,0.2363090773,5.82999992370605,2.95000004768371,89.5400009155273,4.21999979019165,4.55999994277954,2.20000004768371
